--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

 16750K .......... .......... .......... .......... ..........  3%  823K 1h40m
 16800K .......... .......... .......... .......... ..........  3%  773K 1h40m
 16850K .......... .......... .......... .......... ..........  3%  629K 1h40m
 16900K .......... .......... .......... .......... ..........  3%  654K 1h40m
 16950K .......... .......... .......... .......... ..........  3%  658K 1h40m
 17000K .......... .......... .......... .......... ..........  3%  760K 1h40m
 17050K .......... .......... .......... .......... ..........  3%  707K 1h40m
 17100K .......... .......... .......... .......... ..........  3%  593K 1h40m
 17150K .......... .......... .......... .......... ..........  3%  689K 99m59s
 17200K .......... .......... .......... .......... ..........  3%  743K 99m55s
 17250K .......... .......... .......... .......... ..........  3%  709K 99m52s
 17300K .......... .......... .......... .......... ..........  3%  895K 99m46s
 17350K .......... .......... .......... .......... ..........  3%  581K 99m46s
 17400K .......... .......... .......... .......... ..........  3%  908K 99m40s
 17450K .......... .......... .......... .......... ..........  3%  635K 99m39s
 17500K .......... .......... .......... .......... ..........  3%  614K 99m38s
 17550K .......... .......... .......... .......... ..........  3%  603K 99m38s
 17600K .......... .......... .......... .......... ..........  3%  708K 99m35s
 17650K .......... .......... .......... .......... ..........  3%  761K 99m31s
 17700K .......... .......... .......... .......... ..........  3%  654K 99m29s
 17750K .......... .......... .......... .......... ..........  3%  622K 99m28s
 17800K .......... .......... .......... .......... ..........  3%  689K 99m26s
 17850K .......... .......... .......... .......... ..........  3%  708K 99m23s
 17900K .......... .......... .......... .......... ..........  3%  761K 99m19s
 17950K .......... .......... .......... .......... ..........  3%  689K 99m17s
 18000K .......... .......... .......... .......... ..........  3%  637K 99m15s
 18050K .......... .......... .......... .......... ..........  3%  481K 99m19s
 18100K .......... .......... .......... .......... ..........  3%  738K 99m16s
 18150K .......... .......... .......... .......... ..........  3%  502K 99m19s
 18200K .......... .......... .......... .......... ..........  3%  600K 99m19s
 18250K .......... .......... .......... .......... ..........  3%  517K 99m21s
 18300K .......... .......... .......... .......... ..........  3%  470K 99m25s
 18350K .......... .......... .......... .......... ..........  3%  533K 99m27s
 18400K .......... .......... .......... .......... ..........  3%  753K 99m24s
 18450K .......... .......... .......... .......... ..........  3%  671K 99m22s
 18500K .......... .......... .......... .......... ..........  3%  744K 99m18s
 18550K .......... .......... .......... .......... ..........  3%  894K 99m12s
 18600K .......... .......... .......... .......... ..........  4%  877K 99m7s
 18650K .......... .......... .......... .......... ..........  4%  894K 99m1s
 18700K .......... .......... .......... .......... ..........  4% 1,09M 98m54s
 18750K .......... .......... .......... .......... ..........  4% 1,02M 98m47s
 18800K .......... .......... .......... .......... ..........  4% 1,13M 98m39s
 18850K .......... .......... .......... .......... ..........  4%  981K 98m33s
 18900K .......... .......... .......... .......... ..........  4% 1,16M 98m25s
 18950K .......... .......... .......... .......... ..........  4% 1,00M 98m18s
 19000K .......... .......... .......... .......... ..........  4%  894K 98m13s
